1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-0.00355946,0.00415742,0.0177487,0.0353318,0.0549626,0.0764809,0.100376,0.121605,0.151372,0.184823,0.224745,0.274161,0.336872,0.422589,0.519183,0.682226,0.871815,1.12332
-0.000633937,0.0262028,0.0673733,0.113181,0.160687,0.20642,0.26029,0.3124,0.369973,0.412518,0.477473,0.553968,0.645099,0.753524,0.884956,1.0769,1.31175,1.61638
-0.00480208,-0.00192723,0.00229851,0.00774318,0.0144513,0.0213767,0.0306471,0.0413486,0.0534223,0.0717773,0.0959749,0.131695,0.181577,0.249931,0.341811,0.467227,0.642613,0.882663
-0.00168943,0.0193389,0.0523868,0.0902774,0.13233,0.177984,0.221036,0.273726,0.32978,0.374221,0.443161,0.520417,0.612592,0.724596,0.865576,1.0494,1.28309,1.5779
-0.0034134,0.00449567,0.0187132,0.037442,0.0592739,0.0834723,0.109061,0.138968,0.165748,0.20441,0.250504,0.305815,0.373262,0.455977,0.575679,0.720744,0.905335,1.14708
-0.00282988,0.0110294,0.0342282,0.0619529,0.0925824,0.125496,0.157993,0.188679,0.2297,0.273406,0.326218,0.385469,0.45822,0.545792,0.663371,0.813767,1.01044,1.26352
-0.00161125,0.0183336,0.0493163,0.0857827,0.123828,0.160363,0.202924,0.243203,0.276734,0.32611,0.381273,0.444666,0.520925,0.613251,0.729773,0.891047,1.1037,1.36731
-0.00255332,0.0110351,0.0342989,0.0623228,0.0929229,0.123512,0.158557,0.189646,0.226404,0.270201,0.318855,0.376678,0.445495,0.527761,0.63977,0.772993,0.947094,1.17544
-0.000521029,0.0275417,0.0702362,0.11674,0.16886,0.22403,0.278729,0.340506,0.393358,0.483713,0.542393,0.634711,0.738197,0.896947,1.04698,1.22538,1.40342,1.78824
-0.00079844,0.0263431,0.0675179,0.11387,0.161843,0.20952,0.261089,0.312298,0.356417,0.415678,0.478328,0.550921,0.635497,0.735268,0.858361,1.0131,1.20328,1.44485
-0.00375681,0.00386759,0.0169589,0.0337037,0.0523887,0.0726592,0.0951318,0.114649,0.142142,0.173443,0.21281,0.261023,0.321861,0.407929,0.522655,0.672593,0.870761,1.13544
-0.00467987,-0.000733721,0.00527422,0.0143087,0.026346,0.0401902,0.0579359,0.0761927,0.103638,0.129915,0.166613,0.213007,0.27,0.344162,0.457852,0.588757,0.7694,0.999169
-0.00177166,0.018647,0.0507182,0.0879537,0.127039,0.166267,0.20768,0.245566,0.305438,0.342702,0.400561,0.470523,0.55236,0.654781,0.785191,0.960781,1.17899,1.46459
-0.00252366,0.0118027,0.0360251,0.0661409,0.0999975,0.133801,0.174714,0.218659,0.257016,0.306047,0.365735,0.434052,0.517409,0.617999,0.750043,0.911126,1.1188,1.38171
-0.000838998,0.026409,0.0682423,0.114457,0.163631,0.212902,0.267242,0.320678,0.382468,0.428644,0.496059,0.576036,0.668353,0.778086,0.913267,1.06811,1.31147,1.59657
-0.000542296,0.0274538,0.0707369,0.118254,0.171634,0.227836,0.288519,0.346491,0.402225,0.492076,0.573395,0.636923,0.742553,0.868367,1.01386,1.19364,1.45724,1.76162
-0.00164895,0.0186387,0.0493711,0.0860002,0.124374,0.161496,0.206707,0.24736,0.293098,0.33301,0.388431,0.456772,0.539285,0.638288,0.781117,0.910511,1.17034,1.45597
-0.00262679,0.0110013,0.0343102,0.0623069,0.0929494,0.124467,0.160224,0.187683,0.237529,0.270092,0.320713,0.379231,0.449158,0.533078,0.635897,0.783491,0.952437,1.17563
-0.00266365,0.0113779,0.0349449,0.0634934,0.0948948,0.12918,0.166975,0.193413,0.236483,0.281619,0.334494,0.395702,0.46922,0.557579,0.665936,0.828521,1.02305,1.27001
-0.00178621,0.0189069,0.0516718,0.0894978,0.130013,0.173001,0.21676,0.26544,0.318614,0.359929,0.427096,0.500464,0.588514,0.696305,0.841521,1.02199,1.24845,1.55775
-0.00267628,0.0113692,0.0349146,0.0637129,0.0951975,0.129783,0.163407,0.202244,0.239241,0.282223,0.335899,0.398993,0.474424,0.565585,0.69293,0.85069,1.05529,1.31479
-0.00495561,-0.00128842,0.00380333,0.0109606,0.019793,0.0302042,0.0409666,0.0567373,0.0749237,0.0971643,0.125184,0.161454,0.206779,0.271981,0.367236,0.483669,0.642217,0.849905
-0.00361125,0.00414121,0.0177308,0.0353102,0.0553481,0.0774155,0.095899,0.12621,0.149462,0.182523,0.22265,0.271505,0.332962,0.407197,0.528945,0.672424,0.860453,1.10451
-0.00265615,0.0116715,0.0359474,0.0650452,0.0980243,0.132488,0.17087,0.206265,0.249122,0.299019,0.35267,0.416454,0.492623,0.583532,0.705199,0.851263,1.0349,1.27197
-0.00444686,-0.00102692,0.00446876,0.0123365,0.023121,0.0360275,0.0506503,0.0674958,0.0887199,0.112298,0.146575,0.190013,0.248829,0.310022,0.404347,0.593874,0.795177,1.05379
-0.00281215,0.0110716,0.0340915,0.0620208,0.0925623,0.124012,0.158413,0.196214,0.229512,0.273357,0.32472,0.388009,0.463773,0.557202,0.673726,0.862827,1.08249,1.36452
-0.00397704,0.00352254,0.0160431,0.0317801,0.049267,0.0672441,0.0857974,0.103585,0.127395,0.154213,0.187342,0.228116,0.279868,0.353843,0.450152,0.57476,0.743834,0.965314
